	gene_type
935	processed_pseudogene
936	protein_coding
937	snRNA
938	antisense
939	antisense
940	antisense
941	protein_coding
942	antisense
943	antisense
944	processed_pseudogene
945	protein_coding
946	processed_pseudogene
947	misc_RNA
948	processed_pseudogene
949	sense_overlapping
950	protein_coding
951	protein_coding
952	misc_RNA
953	protein_coding
954	protein_coding
955	snRNA
956	protein_coding
957	unprocessed_pseudogene
958	protein_coding
959	unprocessed_pseudogene
960	lincRNA
961	processed_pseudogene
962	processed_pseudogene
963	protein_coding
964	protein_coding
965	antisense
966	lincRNA
967	lincRNA
968	protein_coding
969	lincRNA
970	antisense
971	antisense
972	lincRNA
973	protein_coding
974	processed_pseudogene
975	lincRNA
976	rRNA_pseudogene
977	unprocessed_pseudogene
978	processed_pseudogene
979	protein_coding
980	processed_pseudogene
981	miRNA
982	protein_coding
983	protein_coding
984	processed_pseudogene
985	protein_coding
986	transcribed_unprocessed_pseudogene
987	protein_coding
988	protein_coding
989	processed_pseudogene
990	lincRNA
991	antisense
992	protein_coding
993	processed_pseudogene
994	protein_coding
995	snRNA
996	miRNA
997	snRNA
998	protein_coding
999	lincRNA
1000	antisense
1001	lincRNA
1002	processed_pseudogene
1003	antisense
1004	processed_pseudogene
1005	processed_pseudogene
1006	misc_RNA
1007	protein_coding
1008	protein_coding
1009	protein_coding
1010	protein_coding
1011	antisense
1012	lincRNA
1013	protein_coding
1014	antisense
1015	lincRNA
1016	unprocessed_pseudogene
1017	snRNA
1018	lincRNA
1019	protein_coding
1020	protein_coding
1021	lincRNA
1022	snRNA
1023	snoRNA
1024	processed_pseudogene
1025	antisense
1026	transcribed_unprocessed_pseudogene
1027	processed_pseudogene
1028	processed_pseudogene
1029	antisense
1030	processed_pseudogene
1031	antisense
1032	protein_coding
1033	misc_RNA
1034	antisense
1035	processed_pseudogene
1036	processed_pseudogene
1037	lincRNA
1038	protein_coding
1039	unprocessed_pseudogene
1040	lincRNA
1041	protein_coding
1042	snRNA
1043	unprocessed_pseudogene
1044	protein_coding
1045	protein_coding
1046	processed_pseudogene
1047	miRNA
1048	processed_pseudogene
1049	processed_pseudogene
1050	protein_coding
1051	lincRNA
1052	antisense
1053	protein_coding
1054	antisense
1055	protein_coding
1056	antisense
1057	lincRNA
1058	protein_coding
1059	transcribed_unprocessed_pseudogene
1060	protein_coding
1061	lincRNA
1062	processed_pseudogene
1063	processed_pseudogene
1064	protein_coding
1065	protein_coding
1066	protein_coding
1067	lincRNA
1068	lincRNA
1069	processed_pseudogene
1070	processed_pseudogene
1071	protein_coding
1072	protein_coding
1073	protein_coding
1074	antisense
1075	miRNA
1076	processed_pseudogene
1077	snRNA
1078	rRNA_pseudogene
1079	snRNA
1080	miRNA
1081	misc_RNA
1082	processed_pseudogene
1083	processed_transcript
1084	rRNA_pseudogene
1085	processed_pseudogene
1086	processed_pseudogene
1087	protein_coding
1088	protein_coding
1089	protein_coding
1090	protein_coding
1091	processed_pseudogene
1092	protein_coding
1093	protein_coding
1094	protein_coding
1095	snRNA
1096	protein_coding
1097	protein_coding
1098	protein_coding
1099	snRNA
1100	protein_coding
1101	snRNA
1102	protein_coding
1103	processed_transcript
1104	misc_RNA
1105	processed_pseudogene
1106	processed_pseudogene
1107	processed_pseudogene
1108	protein_coding
1109	processed_pseudogene
1110	lincRNA
1111	sense_intronic
1112	antisense
1113	lincRNA
1114	processed_pseudogene
1115	protein_coding
1116	lincRNA
1117	processed_pseudogene
1118	snoRNA
1119	misc_RNA
1120	unprocessed_pseudogene
1121	protein_coding
1122	protein_coding
1123	lincRNA
1124	protein_coding
1125	processed_pseudogene
1126	protein_coding
1127	antisense
1128	misc_RNA
1129	protein_coding
1130	transcribed_processed_pseudogene
1131	processed_pseudogene
1132	antisense
1133	miRNA
1134	processed_pseudogene
1135	snRNA
1136	unprocessed_pseudogene
1137	miRNA
1138	lincRNA
1139	rRNA_pseudogene
1140	unprocessed_pseudogene
1141	misc_RNA
1142	protein_coding
1143	protein_coding
1144	antisense
1145	TEC
1146	protein_coding
1147	protein_coding
1148	processed_pseudogene
1149	processed_pseudogene
1150	protein_coding
1151	protein_coding
1152	processed_pseudogene
1153	processed_pseudogene
1154	processed_pseudogene
1155	processed_pseudogene
1156	snRNA
1157	protein_coding
1158	misc_RNA
1159	protein_coding
1160	unprocessed_pseudogene
1161	protein_coding
1162	protein_coding
1163	antisense
1164	lincRNA
1165	protein_coding
1166	IG_V_pseudogene
1167	antisense
1168	lincRNA
1169	processed_pseudogene
1170	processed_pseudogene
1171	transcribed_unitary_pseudogene
1172	processed_pseudogene
1173	lincRNA
1174	protein_coding
1175	antisense
1176	miRNA
1177	antisense
1178	unprocessed_pseudogene
1179	protein_coding
1180	snRNA
1181	processed_pseudogene
1182	protein_coding
1183	transcribed_unprocessed_pseudogene
1184	protein_coding
1185	antisense
1186	processed_pseudogene
1187	processed_pseudogene
1188	misc_RNA
1189	lincRNA
1190	protein_coding
1191	antisense
1192	protein_coding
1193	processed_pseudogene
1194	processed_pseudogene
1195	processed_transcript
1196	processed_pseudogene
1197	lincRNA
1198	processed_pseudogene
1199	protein_coding
1200	processed_pseudogene
1201	processed_pseudogene
1202	protein_coding
1203	protein_coding
1204	antisense
1205	antisense
1206	protein_coding
1207	protein_coding
1208	antisense
1209	processed_pseudogene
1210	processed_transcript
1211	sense_intronic
1212	protein_coding
1213	snoRNA
1214	snRNA
1215	bidirectional_promoter_lncRNA
1216	antisense
1217	unprocessed_pseudogene
1218	misc_RNA
1219	sense_intronic
1220	protein_coding
1221	processed_pseudogene
1222	lincRNA
1223	lincRNA
1224	processed_pseudogene
1225	lincRNA
1226	protein_coding
1227	protein_coding
1228	miRNA
1229	antisense
1230	protein_coding
1231	lincRNA
1232	protein_coding
1233	protein_coding
1234	antisense
1235	lincRNA
1236	snRNA
1237	processed_pseudogene
1238	protein_coding
1239	protein_coding
1240	lincRNA
1241	processed_pseudogene
1242	transcribed_unprocessed_pseudogene
1243	protein_coding
1244	lincRNA
1245	processed_pseudogene
1246	lincRNA
1247	protein_coding
1248	protein_coding
1249	protein_coding
1250	protein_coding
1251	protein_coding
1252	processed_pseudogene
1253	lincRNA
1254	processed_pseudogene
1255	processed_pseudogene
1256	protein_coding
1257	processed_pseudogene
1258	lincRNA
1259	misc_RNA
1260	processed_pseudogene
1261	IG_V_gene
1262	processed_pseudogene
1263	misc_RNA
1264	protein_coding
1265	lincRNA
1266	processed_pseudogene
1267	processed_pseudogene
1268	antisense
1269	processed_pseudogene
1270	lincRNA
1271	protein_coding
1272	antisense
1273	protein_coding
1274	unprocessed_pseudogene
1275	misc_RNA
1276	snoRNA
1277	processed_pseudogene
1278	TEC
1279	processed_pseudogene
1280	antisense
1281	antisense
1282	protein_coding
1283	lincRNA
1284	lincRNA
1285	processed_pseudogene
1286	protein_coding
1287	processed_pseudogene
1288	antisense
1289	processed_pseudogene
1290	processed_pseudogene
1291	processed_pseudogene
1292	transcribed_unprocessed_pseudogene
1293	protein_coding
1294	protein_coding
1295	protein_coding
1296	protein_coding
1297	antisense
1298	antisense
1299	lincRNA
1300	antisense
1301	processed_pseudogene
1302	antisense
1303	antisense
1304	protein_coding
1305	protein_coding
1306	misc_RNA
1307	lincRNA
1308	protein_coding
1309	miRNA
1310	processed_pseudogene
1311	processed_pseudogene
1312	sense_intronic
1313	protein_coding
1314	processed_pseudogene
1315	protein_coding
1316	miRNA
1317	lincRNA
1318	misc_RNA
1319	protein_coding
1320	protein_coding
1321	sense_intronic
1322	processed_pseudogene
1323	protein_coding
1324	processed_pseudogene
1325	IG_V_pseudogene
1326	processed_transcript
1327	processed_pseudogene
1328	processed_pseudogene
1329	processed_pseudogene
1330	lincRNA
1331	lincRNA
1332	protein_coding
1333	unprocessed_pseudogene
1334	lincRNA
1335	lincRNA
1336	protein_coding
1337	misc_RNA
1338	processed_pseudogene
1339	lincRNA
1340	processed_pseudogene
1341	protein_coding
1342	protein_coding
1343	processed_pseudogene
1344	protein_coding
1345	protein_coding
1346	protein_coding
1347	unprocessed_pseudogene
1348	processed_pseudogene
1349	processed_pseudogene
1350	protein_coding
1351	misc_RNA
1352	protein_coding
1353	protein_coding
1354	rRNA_pseudogene
1355	protein_coding
1356	protein_coding
1357	processed_pseudogene
1358	miRNA
1359	protein_coding
1360	antisense
1361	miRNA
1362	processed_pseudogene
1363	lincRNA
1364	antisense
1365	protein_coding
1366	protein_coding
1367	snRNA
1368	antisense
1369	antisense
1370	protein_coding
1371	antisense
1372	snRNA
1373	misc_RNA
1374	snRNA
1375	lincRNA
1376	lincRNA
1377	protein_coding
1378	lincRNA
1379	protein_coding
1380	protein_coding
1381	sense_intronic
1382	lincRNA
1383	misc_RNA
1384	protein_coding
1385	miRNA
1386	processed_pseudogene
1387	protein_coding
1388	protein_coding
1389	lincRNA
1390	protein_coding
1391	antisense
1392	lincRNA
1393	protein_coding
1394	protein_coding
1395	protein_coding
1396	protein_coding
1397	antisense
1398	processed_pseudogene
1399	protein_coding
1400	protein_coding
1401	antisense
1402	processed_pseudogene
1403	snRNA
1404	protein_coding
1405	protein_coding
1406	lincRNA
1407	protein_coding
1408	protein_coding
1409	protein_coding
1410	protein_coding
1411	lincRNA
1412	processed_pseudogene
1413	processed_pseudogene
1414	lincRNA
1415	protein_coding
1416	miRNA
1417	protein_coding
1418	protein_coding
1419	misc_RNA
1420	lincRNA
1421	lincRNA
1422	processed_pseudogene
1423	protein_coding
1424	antisense
1425	processed_transcript
1426	lincRNA
1427	protein_coding
1428	lincRNA
1429	protein_coding
1430	protein_coding
1431	protein_coding
1432	protein_coding
1433	lincRNA
1434	processed_pseudogene
1435	processed_pseudogene
1436	processed_pseudogene
1437	protein_coding
1438	protein_coding
1439	lincRNA
1440	protein_coding
1441	processed_pseudogene
1442	misc_RNA
1443	processed_pseudogene
1444	unprocessed_pseudogene
1445	processed_pseudogene
1446	snRNA
1447	misc_RNA
1448	snoRNA
1449	protein_coding
1450	antisense
1451	miRNA
1452	lincRNA
1453	misc_RNA
1454	snRNA
1455	misc_RNA
1456	lincRNA
1457	miRNA
1458	antisense
1459	snRNA
1460	lincRNA
1461	sense_intronic
1462	antisense
1463	processed_pseudogene
1464	lincRNA
1465	protein_coding
1466	processed_pseudogene
1467	protein_coding
1468	protein_coding
1469	protein_coding
1470	antisense
1471	lincRNA
1472	antisense
1473	antisense
1474	unprocessed_pseudogene
1475	protein_coding
1476	protein_coding
1477	processed_pseudogene
1478	lincRNA
1479	processed_pseudogene
1480	TEC
1481	protein_coding
1482	antisense
1483	protein_coding
1484	antisense
1485	lincRNA
1486	protein_coding
1487	lincRNA
1488	lincRNA
1489	lincRNA
1490	processed_pseudogene
1491	protein_coding
1492	antisense
1493	protein_coding
1494	sense_overlapping
1495	lincRNA
1496	processed_pseudogene
1497	protein_coding
1498	protein_coding
1499	processed_pseudogene
1500	processed_pseudogene
1501	lincRNA
1502	unprocessed_pseudogene
1503	protein_coding
1504	protein_coding
1505	protein_coding
1506	protein_coding
1507	antisense
1508	snRNA
1509	antisense
1510	protein_coding
1511	protein_coding
1512	lincRNA
1513	lincRNA
1514	protein_coding
1515	lincRNA
1516	protein_coding
1517	protein_coding
1518	processed_pseudogene
